2019-03-12 18:32:30,921 - ClusterTrainer - INFO - |  Hyperparameter  |         Value         |
| :--------------- | :-------------------- |
| lr               | 3.344654774494276e-05 |
| code_size        | 68                    |
| lin2_in_channels | 117                   |
| dropout          | 0.3063729927050812    |

2019-03-12 18:53:43,743 - ClusterTrainer - INFO -    > [153344/517313 (30%), 27.50s] Loss: 0.005442 
2019-03-12 18:53:46,756 - ClusterTrainer - INFO -    > [161408/517313 (31%), 26.65s] Loss: 0.005359 
2019-03-12 18:53:49,764 - ClusterTrainer - INFO -    > [169472/517313 (33%), 26.47s] Loss: 0.005797 
2019-03-12 18:53:52,780 - ClusterTrainer - INFO -    > [177536/517313 (34%), 25.67s] Loss: 0.005095 
2019-03-12 18:53:55,787 - ClusterTrainer - INFO -    > [185600/517313 (36%), 25.04s] Loss: 0.005225 
2019-03-12 18:53:58,804 - ClusterTrainer - INFO -    > [193664/517313 (37%), 24.59s] Loss: 0.005109 
2019-03-12 18:54:01,817 - ClusterTrainer - INFO -    > [201728/517313 (39%), 23.93s] Loss: 0.005706 
2019-03-12 18:54:04,828 - ClusterTrainer - INFO -    > [209792/517313 (41%), 23.62s] Loss: 0.005996 
2019-03-12 18:54:07,847 - ClusterTrainer - INFO -    > [217856/517313 (42%), 22.46s] Loss: 0.005060 
2019-03-12 18:54:10,856 - ClusterTrainer - INFO -    > [225920/517313 (44%), 22.26s] Loss: 0.005214 
2019-03-12 18:54:13,878 - ClusterTrainer - INFO -    > [233984/517313 (45%), 21.96s] Loss: 0.004618 
2019-03-12 18:54:16,905 - ClusterTrainer - INFO -    > [242048/517313 (47%), 21.36s] Loss: 0.005038 
2019-03-12 18:54:19,929 - ClusterTrainer - INFO -    > [250112/517313 (48%), 20.37s] Loss: 0.005157 
2019-03-12 18:54:22,959 - ClusterTrainer - INFO -    > [258176/517313 (50%), 19.95s] Loss: 0.005474 
2019-03-12 18:54:25,986 - ClusterTrainer - INFO -    > [266240/517313 (51%), 19.08s] Loss: 0.005050 
2019-03-12 18:54:29,011 - ClusterTrainer - INFO -    > [274304/517313 (53%), 18.54s] Loss: 0.005246 
